Name,Lat,Lon
"130 E Clifton Ave, Ohio, Cincinnati",39.1159472,-84.5142224
"2300 block of Bethel St, Virginia, Richmond",37.5551184,-77.4185708
"Imperial Hwy and Broadway, California, Los Angeles",33.931006,-118.2784465
"Hewitt St and Division St, New Jersey, Trenton",40.208135,-74.743731
"3000 Block of N 39th St, Wisconsin, Milwaukee",43.0733843,-87.9620936
"NW Grand Ave and W Thunderbird Rd, Arizona, El Mirage",33.6089076,-112.3123446
"21st and Fitzwater, Pennsylvania, Philadelphia",39.9432388,-75.17737559999999
"12200 block of S Throop St, Illinois, Chicago",41.6720104,-87.6538996
"500 block Sturgeon Rd, Virginia, Lawrenceville",36.8119173,-77.7708834
"700 block of Oakwood, Illinois, Alton",38.9170242,-90.17329769999999
"9917 Capstan Dr, Ohio, Cincinnati",39.2540466,-84.5966345
"Eighth Ave, Mississippi, Meridian",32.3817211,-88.6865333
"Jefferson Street and West St. Julian Street, Georgia, Savannah",32.0808246,-81.0949588
"11000 block of S Eberhart, Illinois, Chicago (Roseland)",41.6945043,-87.6112479
"300 block of Russell Rd, Maine, Madison",44.7819199,-69.74620270000001
"501 W Lancaster Rd, Florida, Orlando (Pine Castle)",28.4656126,-81.3828292
"105 E South St, North Carolina, Raleigh",35.7724115,-78.6379833
"500 block of Patterson Ave, Virginia, Hampton",37.0325286,-76.3606547
"112 US 82, Alabama, Prattville",32.5387721,-86.4923882
"50 block of Thorpe St, Michigan, Pontiac",42.6371469,-83.3115598
"Wilkinson Avenue, New Jersey, Jersey City",40.7063283,-74.080444
"SC 72 Bypass, South Carolina, Greenwood",34.1952828,-82.1617983
"2727 S 13000 Rd E, Illinois, Momence",41.08524120000001,-87.6198026
"Lincoln Park and Pennsylvania, New Jersey, Newark",40.7258888,-74.1796367
"3200 Humboldt Ave, California, Oakland",37.7920659,-122.2067424
"220 W 6th St, Arkansas, Little Rock",34.7433692,-92.2727594
"1650 Grand Concourse, New York, Bronx",40.8434114,-73.9111677
"200 block of S Lotus, Illinois, Chicago",41.8780929,-87.76191209999999
"5900 block of Southern Ave SE, District of Columbia, Washington",38.8884757,-76.915018
"5000 block of Thekla Ave, Missouri, Saint Louis",38.6885561,-90.24198349999999
"2335 NW 16th Ct, Florida, Fort Lauderdale",26.1469029,-80.17334269999999
"114th St and Manhattan Ave, New York, New York (Manhattan)",40.8037381,-73.9577813
"Pastoral Lane, New Jersey, Willingboro",40.0329509,-74.89725709999999
"1100 block of Osborne Street, Georgia, Atlanta",33.7041596,-84.42392389999999
"1900 block of N 14th St, Missouri, Saint Louis",38.64437119999999,-90.193861
"3100 Block of Buena Vista Terrace SE, District of Columbia, Washington",38.8523724,-76.9656792
"3300 block of W Crystal, Illinois, Chicago",41.903988,-87.709434
"311 N Ocean Blvd, South Carolina, Myrtle Beach",33.6862966,-78.88532029999999
"6252 Busch Blvd, Ohio, Columbus",40.0936472,-82.9921834
"1 block of North Latrobe, Illinois, Chicago",41.8803959,-87.7562848
"491 NM 111, New Mexico, La Madera",36.3840099,-106.04116
"4053 Old Brook Road, Virginia, Richmond",37.590905,-77.445915
"14th St. NE and Gibbs Ave. NE, Ohio, Canton",40.8112655,-81.36270549999999
"420 E Monroe Ave, Virginia, Alexandria",38.8214011,-77.0543405
"720 San Bruno, California, San Francisco",37.7596254,-122.4049977
"3300 block of Ayrdale Avenue, Maryland, Baltimore",39.3262709,-76.68158919999999
"1200 block of Bonaparte Avenue, Maryland, Baltimore",39.3155124,-76.5998139
"Ferguson Ave and Plymouth Ave, Missouri, Saint Louis (University City)",38.6691736,-90.309979
"3300 block of W Douglas Blvd, Illinois, Chicago",41.863292,-87.708188
"4272 Bonny Oaks Drive, Tennessee, Chattanooga",35.0804279,-85.2138901
"505 Cypress Station Dr, Texas, Houston",30.03013409999999,-95.43728630000001
"571 East Street, Tennessee, Memphis",35.1313617,-90.0314121
"East Davis Avenue and New York Avenue, Texas, Fort Worth",32.72087310000001,-97.3156891
"3650 Franklin Ave, Louisiana, New Orleans",29.9965541,-90.05012099999999
"2232 Alta Canyon Drive, Utah, Sandy",40.59394959999999,-111.8267026
"2427 Forsyth Rd, Florida, Orlando",28.5798544,-81.2934832
"1600 Block of Union Blvd, Missouri, Saint Louis",38.666531,-90.2671709
"3717 Tulane Ave, Louisiana, New Orleans",29.9669408,-90.10173449999999
"5301 McPherson Rd, Texas, Laredo",27.5450881,-99.48204439999999
"89th St and Broadway, California, Los Angeles",33.9555242,-118.2782224
"Beacon Ave and Lillian Ave, Missouri, Saint Louis",38.6942927,-90.2522415
"1200 Elliott Dr, Ohio, Middletown",39.5010979,-84.3524533
"231 Witherspoon St, Kentucky, Louisville",38.2576324,-85.75037979999999
"100 block of 6th Street South, Alabama, Phenix City",32.4359375,-84.99518189999999
"86 Main Street, New Jersey, Paterson",40.9197142,-74.1730831
"6103 Hwy. 63, Mississippi, Moss Point",30.4314164,-88.52575949999999
"318 W 14th St, New York, New York (Manhattan)",40.7399803,-74.0036451
"100 block of Q Street Northwest, District of Columbia, Washington",38.911121,-77.0121885
"2871 Lee Drive, Mississippi, Bogue Chitto",31.4123608,-90.46051369999999
"2730 NW 167th St, Florida, Miami",25.9260023,-80.2457992
"4300 Beaver Dr, Iowa, Des Moines",41.6388144,-93.67893389999999
"441 N Val Vista Dr, Arizona, Mesa",33.423802,-111.752181
"2100 block of W Huntingdon St, Pennsylvania, Philadelphia",39.9933871,-75.16285169999999
"21785 Lowcountry Hwy, South Carolina, Ruffin",33.0049599,-80.815355
"311 S Main St, Arkansas, Jonesboro",35.839814,-90.705197
"14112 Chicago Road, Illinois, Dolton",41.638472,-87.6079029
"Hal McRae Blvd and Delaney Ave, Florida, Avon Park",27.584669,-81.49813499999999
"8600 block of Calmont Ave, Texas, Fort Worth",32.7360013,-97.46726059999999
"300 block of Centre St, New Jersey, Trenton",40.209726,-74.7594865
"1900 block of S. Boeke, Kansas, Kansas City",39.065918,-94.632859
"2600 block of 46th Pl, Illinois, Chicago",41.8092739,-87.6892932
"600 block of Copeman Boulevard, Michigan, Flint",43.028638,-83.71129549999999
"1566 West 24th Street, Florida, Jacksonville",30.3585156,-81.6820029
"3200 block of Reynolds Ave, Texas, Dallas",32.7864089,-96.7407147
"4104 SW 28th, Kansas, Topeka",39.0169834,-95.7280806
"1200 Ken Knight Dr N, Florida, Jacksonville",30.3914235,-81.7169292
"268 N Sea Green Rd, South Carolina, Loris",34.1016277,-78.9781737
"9080 Judicial Dr, California, San Diego",32.8716032,-117.2029478
"12800 block of Kitchen House Way, Maryland, Germantown",39.1506029,-77.26575299999999
"Murchison St and Lancaster Ave, California, Los Angeles (Boyle Heights)",34.05787189999999,-118.1967811
"3800 block of 26th Avenue, California, Sacramento",38.5288071,-121.4656812
"10000 block of Carmentia Rd, California, Whittier",33.9441934,-118.0464304
"2000 Block of N Nestor Ave, California, Compton",33.9103167,-118.2496888
"200 block of 18th St, Virginia, Virginia Beach",36.8463356,-75.97453519999999
"5 E 21st St, Pennsylvania, Chester",39.863592,-75.366483
"1100 block of S Orange Ave, New Jersey, Newark",40.7454487,-74.2344155
"SW 264th St and 139th Ave, Florida, Miami",25.5217591,-80.4166961
"2500 block of Vernon Dr, Florida, Palm Bay",28.0582801,-80.5947371
"700 block of East Jacob Street, Kentucky, Louisville",38.2429824,-85.7418588
"110 Calhoun Street, California, Vallejo",38.120627,-122.266629
"611 S Martin St, North Carolina, Elizabeth City",36.2942611,-76.2216885
"1710 Cleveland Av, Ohio, Columbus",40.0009315,-82.9751921
"311 W 2nd St, Illinois, Rock Falls",41.7805802,-89.6942955
"300 block of S Meridian St, Indiana, Indianapolis",39.7623583,-86.1587338
"1480 Center Point Pkwy, Alabama, Birmingham",33.6237866,-86.6862494
"5900 block of Hammond Street, Pennsylvania, Philadelphia",40.039441,-75.11684629999999
"14600 block of Myrtle Avenue, Illinois, Harvey",41.6242889,-87.65269599999999
"900 block of N Allen St, California, Banning",33.9335197,-116.8620289
"30 Anderson Ave SW, Georgia, Atlanta",33.75383160000001,-84.4460244
"3100 block of Fidelia Drive, Texas, San Antonio",29.3092344,-98.56042749999999
"9439 Lima Rd, Indiana, Fort Wayne",41.1694213,-85.1669237
"3829 Mount Pleasant St, Texas, Houston",29.6856668,-95.3661944
"1600 block of English St, Minnesota, Saint Paul",44.991864,-93.0459403
"1423 29th Ave Dr NE, North Carolina, Hickory",35.7669016,-81.3057899
"5600 block of W Lake St, Illinois, Chicago",41.8877404,-87.76579319999999
"2000 block of Tulip St, Louisiana, Lake Charles",30.2112,-93.193029
"1100 block of W Stiles St, Pennsylvania, Philadelphia",39.97170149999999,-75.1539602
"5401 Ave Q, Texas, Lubbock",33.5446085,-101.850978
"3500 block of West Van Buren Street, Illinois, Chicago",41.875681,-87.71305
"2500 Martin Luther King Jr. Parkway, Iowa, Des Moines",41.6168954,-93.6474662
"100 block of Madoline Street, California, Pittsburg",38.0053402,-121.8946848
"219 S Howard Ave, Florida, Tampa",27.9420309,-82.4832819
"1200 block of N Woodward Avenue, Oklahoma, Oklahoma City",35.4804884,-97.5756083
"2704 E 75th St, Illinois, Chicago",41.76021,-87.558459
"209 Hays Dr, Florida, Sanford",28.7893168,-81.2816698
"5619 Aldine Bender Rd, Texas, Houston",29.9320869,-95.305694
"4601 Kellogg Ave, Ohio, Cincinnati",39.0931526,-84.4284203
"E 75th St, Ohio, Cleveland",41.4517842,-81.63574659999999
"8443 Grand River Ave, Michigan, Detroit",42.361098,-83.12089979999999
"Minnesota Avenue, Tennessee, Knoxville",35.9846368,-83.9578046
"E 79th St and Woodland Ave, Ohio, Cleveland",41.4881809,-81.63337469999999
"300 block of South Villa Avenue, California, Fresno",36.7407646,-119.7141923
"5100 block of Palm St, Missouri, Saint Louis",38.67647890000001,-90.2545268
"1133 E Grand Ave, Wisconsin, Rothschild",44.8997294,-89.60953330000001
"1512 Portland Avenue, Kentucky, Louisville",38.2619732,-85.77490949999999
"16000 block of Rutherford, Michigan, Detroit",42.4085487,-83.20441389999999
"2508 Pasadena Ave, Louisiana, Metairie",29.9973235,-90.176283
"123 E 51st St, Illinois, Chicago",41.8017657,-87.62147370000001
"4200 block of Touro St, Louisiana, New Orleans (Gentilly)",30.0008308,-90.0618643
"West 76th Street and South May streets, Illinois, Chicago",41.7559709,-87.65266919999999
"600 block of 32nd Street, Georgia, Columbus",32.4940719,-84.9851066
"23rd and Bellview, Kansas, Topeka",39.026109,-95.64496799999999
"2500 block of 33rd St, California, Sacramento",38.5554271,-121.4697831
"7165 Germantown Ave, Pennsylvania, Philadelphia",40.060177,-75.190676
"8300 block of Trey Ave, California, Riverside",33.9405676,-117.4625923
"1700 of Casey Drive, Ohio, Cincinnati",39.17776360000001,-84.5462386
"11810 Fountain Way, Virginia, Newport News",37.0855493,-76.47170009999999
"1700 block of Grant St, Indiana, Gary",41.585851,-87.3566589
"1564 Niles Cortland Rd SE, Ohio, Warren",41.2208767,-80.7405746
"3604 Moncrief Rd, Florida, Jacksonville",30.360314,-81.67654
"191 Genesee St, New York, Rochester",43.1464474,-77.6361945
"16700 Lorain Ave, Ohio, Cleveland",41.4509652,-81.8138017
"Butts Road, Mississippi, Toomsuba",32.4337799,-88.49679599999999
"1082 East 105th Street, Ohio, Cleveland",41.5275505,-81.61577109999999
"Church Street and East Virginia Beach Blvd, Virginia, Norfolk",36.8564249,-76.2791143
"1 block of N Conestoga, Pennsylvania, Philadelphia",39.9606588,-75.2297531
"1000 block of Yukon St, Indiana, South Bend",41.6915138,-86.2634534
"30 Soledad Street, California, Salinas",36.6790982,-121.6524757
"3949 South Albany Avenue, Illinois, Chicago",41.8211957,-87.70186269999999
"908 Truman Blvd, Missouri, Caruthersville",36.19235159999999,-89.66725389999999
"253 South William Street, New York, Newburgh",41.49637209999999,-74.0190021
"Church Ave and Obadiah St, Florida, Greenville",30.4617157,-83.63302809999999
"Cli on Road and Midway Drive, Tennessee, Savannah",35.2259019,-88.2141695
"100 block of North Mayfield, Illinois, Chicago",41.88214560000001,-87.7718325
"2nd St and Dryades St, Louisiana, New Orleans",29.9348579,-90.0853961
"3150 Robinson Road, Mississippi, Jackson",32.3067795,-90.23926259999999
"16379 Euclid Ave, Ohio, Cleveland",41.546178,-81.5660115
"5500 block of Fairfield Road, South Carolina, Columbia",34.0592634,-81.02573459999999
"25 Par Drive, Arkansas, Little Rock",34.6728628,-92.42902029999999
"11th Street, Mississippi, Yazoo City",32.8605806,-90.39999569999999
"1576 S White Station Rd, Tennessee, Memphis",35.0881006,-89.8903612
"2900 block of Martin Luther King Jr Ave, District of Columbia, Washington",38.8459019,-76.9964283
"5410 Lakeland Ave N, Minnesota, Minneapolis (Crystal)",45.0513311,-93.3538638
"6363 Hearne Ave, Louisiana, Shreveport",32.4489324,-93.7798997
"221 Morgan St, Tennessee, Brownsville",35.5964393,-89.2313177
"1510 Maryland Drive, Georgia, Albany",31.5847591,-84.1831488
"500 block of E 75th St, Illinois, Chicago",41.7586749,-87.612292
"1800 block of W 63rd, Illinois, Chicago (Englewood)",41.7795905,-87.6693456
"2841 Greenbriar Pkwy SW, Georgia, Atlanta",33.6877868,-84.4934528
"200 block of Oak Shore Dr, Texas, Manvel",29.5143921,-95.3747808
"6510 Tara Blvd, Georgia, Jonesboro",33.5768929,-84.37205709999999
"500 NE 2nd St, Florida, Boynton Beach",26.5308019,-80.0616601
"500 block of Delta Road, Tennessee, Memphis",35.0180629,-90.080823
"Smart Road, Mississippi, Como",34.5333306,-89.7741592
"4700 block of E Montecito Ave, California, Fresno",36.7340778,-119.7409618
"8535 Martin Luther King Boulevard, Texas, Houston",29.6590182,-95.3362404
"6011 NW 32nd Ave, Florida, Miami",25.8294333,-80.2488973
"County Road Y, Colorado, Capulin",37.2816971,-106.1086315
"6000 block of Church Road, Mississippi, Magnolia",31.1285292,-90.5340219
"8607 E 61st Terrace, Missouri, Kansas City",39.0122595,-94.48562869999999
"500 block of Sunrise St, California, Salinas",36.685208,-121.6141734
"Hawkins Street and Christie Street, New Jersey, Newark",40.7278889,-74.1388467
"4200 block of S Talman, Illinois, Chicago",41.8173059,-87.69079599999999
"2500 block of Churchill Ave, Michigan, Flint",43.0341281,-83.65877359999999
"100 block of W Claremont St, California, Pasadena",34.1666645,-118.152891
"100 Terminal Dr, Florida, Fort Lauderdale",26.0716903,-80.145253
"14520 Village Drive, California, Fontana",34.0437426,-117.4861745
"500 block of Hawthorne Drive, Texas, Allen",33.084276,-96.6664498
"114 North Greyer Street, Mississippi, Winstonville",33.9140119,-90.75150529999999
"9220 Skillman Street, Texas, Dallas",32.9022211,-96.7142873
"8000 block of NW 14th Ave, Florida, Miami",25.848283,-80.2216558
